protein,database,accession,name,interpro,interpro_name,start,end,evalue
TAS1R1_hsapiens,PFAM,PF01094,ANF_receptor,IPR001828,ANF_lig-bd_rcpt,76,457,4.2e-62
TAS1R1_hsapiens,GENE3D,G3DSA:3.40.50.2300,,,,203,480,5e-112
TAS1R1_mmusculus,PANTHER,PTHR24061,CALCIUM-SENSING RECEPTOR-RELATED,IPR000068,GPCR_3_Ca_sens_rcpt-rel,32,830,
TAS1R1_mmusculus,PFAM,PF07562,NCD3G,IPR011500,GPCR_3_9-Cys_dom,493,546,2.7e-10
TAS1R1_mmusculus,PFAM,PF00003,7tm_3,IPR017978,GPCR_3_C,562,812,6.9e-51
TAS1R1_mmusculus,GENE3D,G3DSA:3.40.50.2300,,,,204,480,4.6e-112
TAS1R1_mmusculus,SUPERFAMILY,SSF53822,Periplasmic binding protein-like I,IPR028082,Peripla_BP_I,31,488,
TAS1R1_mmusculus,GENE3D,G3DSA:3.40.50.2300,,,,37,459,4.6e-112
TAS1R1_mmusculus,GENE3D,G3DSA:2.10.50.30,"GPCR, family 3, nine cysteines domain",IPR038550,GPCR_3_9-Cys_sf,492,569,5.5e-17
TAS1R1_mmusculus,PFAM,PF01094,ANF_receptor,IPR001828,ANF_lig-bd_rcpt,77,458,1.4e-60
TAS1R1_rnorvegicus,GENE3D,G3DSA:2.10.50.30,"GPCR, family 3, nine cysteines domain",IPR038550,GPCR_3_9-Cys_sf,490,567,2.4e-18
TAS1R1_rnorvegicus,SUPERFAMILY,SSF53822,Periplasmic binding protein-like I,IPR028082,Peripla_BP_I,29,486,
TAS1R1_rnorvegicus,PFAM,PF00003,7tm_3,IPR017978,GPCR_3_C,559,810,4e-51
TAS1R1_rnorvegicus,GENE3D,G3DSA:3.40.50.2300,,,,35,457,8.8e-112
TAS1R1_rnorvegicus,PANTHER,PTHR24061,CALCIUM-SENSING RECEPTOR-RELATED,IPR000068,GPCR_3_Ca_sens_rcpt-rel,30,828,
TAS1R1_rnorvegicus,PFAM,PF01094,ANF_receptor,IPR001828,ANF_lig-bd_rcpt,75,456,1.1e-60
TAS1R1_rnorvegicus,GENE3D,G3DSA:3.40.50.2300,,,,202,478,8.8e-112
TAS1R1_rnorvegicus,PFAM,PF07562,NCD3G,IPR011500,GPCR_3_9-Cys_dom,491,544,2.2e-10
TAS1R2_hsapiens,GENE3D,G3DSA:3.40.50.2300,,,,31,457,2.6e-113
TAS1R2_hsapiens,PFAM,PF07562,NCD3G,IPR011500,GPCR_3_9-Cys_dom,490,544,1.4e-11
TAS1R2_hsapiens,SUPERFAMILY,SSF53822,Periplasmic binding protein-like I,IPR028082,Peripla_BP_I,27,484,
TAS1R2_hsapiens,PANTHER,PTHR24061,CALCIUM-SENSING RECEPTOR-RELATED,IPR000068,GPCR_3_Ca_sens_rcpt-rel,27,827,
TAS1R2_hsapiens,PFAM,PF00003,7tm_3,IPR017978,GPCR_3_C,559,811,3.3e-50
TAS1R2_hsapiens,GENE3D,G3DSA:2.10.50.30,"GPCR, family 3, nine cysteines domain",IPR038550,GPCR_3_9-Cys_sf,489,566,1.2e-17
TAS1R2_hsapiens,GENE3D,G3DSA:3.40.50.2300,,,,198,474,2.6e-113
TAS1R2_hsapiens,PFAM,PF01094,ANF_receptor,IPR001828,ANF_lig-bd_rcpt,72,456,4.6e-81
TAS1R2_mmusculus,GENE3D,G3DSA:3.40.50.2300,,,,201,479,4.9e-111
TAS1R2_mmusculus,PFAM,PF00003,7tm_3,IPR017978,GPCR_3_C,563,815,3.4e-49
TAS1R2_mmusculus,SUPERFAMILY,SSF53822,Periplasmic binding protein-like I,IPR028082,Peripla_BP_I,30,487,
TAS1R2_mmusculus,GENE3D,G3DSA:2.10.50.30,"GPCR, family 3, nine cysteines domain",IPR038550,GPCR_3_9-Cys_sf,493,570,8.4e-19
TAS1R2_mmusculus,SUPERFAMILY,SSF57586,TNF receptor-like,,,497,542,
TAS1R2_mmusculus,PANTHER,PTHR24061,CALCIUM-SENSING RECEPTOR-RELATED,IPR000068,GPCR_3_Ca_sens_rcpt-rel,30,831,
TAS1R2_mmusculus,PFAM,PF01094,ANF_receptor,IPR001828,ANF_lig-bd_rcpt,75,459,6.3e-81
TAS1R2_mmusculus,PFAM,PF07562,NCD3G,IPR011500,GPCR_3_9-Cys_dom,494,548,4.8e-13
TAS1R2_mmusculus,GENE3D,G3DSA:3.40.50.2300,,,,34,461,4.9e-111
TAS1R2_rnorvegicus,PFAM,PF01094,ANF_receptor,IPR001828,ANF_lig-bd_rcpt,75,460,1.4e-82
TAS1R2_rnorvegicus,PFAM,PF07562,NCD3G,IPR011500,GPCR_3_9-Cys_dom,494,548,2.7e-12
TAS1R2_rnorvegicus,SUPERFAMILY,SSF53822,Periplasmic binding protein-like I,IPR028082,Peripla_BP_I,30,486,
TAS1R2_rnorvegicus,GENE3D,G3DSA:2.10.50.30,"GPCR, family 3, nine cysteines domain",IPR038550,GPCR_3_9-Cys_sf,493,570,2.7e-17
TAS1R2_rnorvegicus,GENE3D,G3DSA:3.40.50.2300,,,,34,461,3.7e-112
TAS1R2_rnorvegicus,PFAM,PF00003,7tm_3,IPR017978,GPCR_3_C,563,815,1.5e-49
TAS1R2_rnorvegicus,GENE3D,G3DSA:3.40.50.2300,,,,201,480,3.7e-112
TAS1R2_rnorvegicus,PANTHER,PTHR24061,CALCIUM-SENSING RECEPTOR-RELATED,IPR000068,GPCR_3_Ca_sens_rcpt-rel,30,831,
TAS1R2_rnorvegicus,SUPERFAMILY,SSF57586,TNF receptor-like,,,497,542,
TAS1R3_drerio,PFAM,PF07562,NCD3G,IPR011500,GPCR_3_9-Cys_dom,499,552,9.8e-14
TAS1R3_drerio,SUPERFAMILY,SSF53822,Periplasmic binding protein-like I,IPR028082,Peripla_BP_I,40,493,
TAS1R3_drerio,PFAM,PF00003,7tm_3,IPR017978,GPCR_3_C,567,819,8.6e-42
TAS1R3_drerio,GENE3D,G3DSA:2.10.50.30,"GPCR, family 3, nine cysteines domain",IPR038550,GPCR_3_9-Cys_sf,498,573,1.5e-17
TAS1R3_drerio,GENE3D,G3DSA:3.40.50.2300,,,,209,486,2.8e-106
TAS1R3_drerio,PFAM,PF01094,ANF_receptor,IPR001828,ANF_lig-bd_rcpt,82,465,3.9e-54
TAS1R3_drerio,GENE3D,G3DSA:3.40.50.2300,,,,42,466,2.8e-106
TAS1R3_drerio,PANTHER,PTHR24061,CALCIUM-SENSING RECEPTOR-RELATED,IPR000068,GPCR_3_Ca_sens_rcpt-rel,38,836,
TAS1R3_ggallus,PFAM,PF00003,7tm_3,IPR017978,GPCR_3_C,507,757,3.2e-43
TAS1R3_ggallus,PFAM,PF07562,NCD3G,IPR011500,GPCR_3_9-Cys_dom,440,492,9e-10
TAS1R3_ggallus,GENE3D,G3DSA:2.10.50.30,"GPCR, family 3, nine cysteines domain",IPR038550,GPCR_3_9-Cys_sf,439,515,1.6e-16
TAS1R3_ggallus,PANTHER,PTHR24061,CALCIUM-SENSING RECEPTOR-RELATED,IPR000068,GPCR_3_Ca_sens_rcpt-rel,20,776,
TAS1R3_ggallus,GENE3D,G3DSA:3.40.50.2300,,,,11,407,1.3e-106
TAS1R3_ggallus,GENE3D,G3DSA:3.40.50.2300,,,,147,426,1.3e-106
TAS1R3_ggallus,PFAM,PF01094,ANF_receptor,IPR001828,ANF_lig-bd_rcpt,19,406,2.2e-61
TAS1R3_ggallus,SUPERFAMILY,SSF53822,Periplasmic binding protein-like I,IPR028082,Peripla_BP_I,15,433,
TAS1R3_hsapiens,PFAM,PF07562,NCD3G,IPR011500,GPCR_3_9-Cys_dom,495,547,2e-10
TAS1R3_hsapiens,PANTHER,PTHR24061,CALCIUM-SENSING RECEPTOR-RELATED,IPR000068,GPCR_3_Ca_sens_rcpt-rel,27,830,
TAS1R3_hsapiens,GENE3D,G3DSA:3.40.50.2300,,,,201,485,4.2e-102
TAS1R3_hsapiens,GENE3D,G3DSA:2.10.50.30,"GPCR, family 3, nine cysteines domain",IPR038550,GPCR_3_9-Cys_sf,494,570,1.1e-16
TAS1R3_hsapiens,PFAM,PF00003,7tm_3,IPR017978,GPCR_3_C,562,812,3.8e-45
TAS1R3_hsapiens,SUPERFAMILY,SSF53822,Periplasmic binding protein-like I,IPR028082,Peripla_BP_I,30,488,
TAS1R3_hsapiens,GENE3D,G3DSA:3.40.50.2300,,,,33,463,4.2e-102
TAS1R3_hsapiens,PFAM,PF01094,ANF_receptor,IPR001828,ANF_lig-bd_rcpt,72,460,1.5e-65
TAS1R3_mmusculus,PFAM,PF07562,NCD3G,IPR011500,GPCR_3_9-Cys_dom,499,552,1.8e-11
TAS1R3_mmusculus,PFAM,PF01094,ANF_receptor,IPR001828,ANF_lig-bd_rcpt,73,468,1e-71
TAS1R3_mmusculus,PANTHER,PTHR24061,CALCIUM-SENSING RECEPTOR-RELATED,IPR000068,GPCR_3_Ca_sens_rcpt-rel,26,838,
TAS1R3_mmusculus,PFAM,PF00003,7tm_3,IPR017978,GPCR_3_C,567,818,2.5e-41
TAS1R3_mmusculus,GENE3D,G3DSA:3.40.50.2300,,,,201,485,5.7e-102
TAS1R3_mmusculus,GENE3D,G3DSA:2.10.50.30,"GPCR, family 3, nine cysteines domain",IPR038550,GPCR_3_9-Cys_sf,498,576,4e-19
TAS1R3_mmusculus,GENE3D,G3DSA:3.40.50.2300,,,,33,470,5.7e-102
TAS1R3_mmusculus,SUPERFAMILY,SSF53822,Periplasmic binding protein-like I,IPR028082,Peripla_BP_I,31,496,
TAS1R3_rnorvegicus,GENE3D,G3DSA:3.40.50.2300,,,,201,485,1.4e-100
TAS1R3_rnorvegicus,PFAM,PF00003,7tm_3,IPR017978,GPCR_3_C,567,818,1.9e-45
TAS1R3_rnorvegicus,GENE3D,G3DSA:3.40.50.2300,,,,33,470,1.4e-100
TAS1R3_rnorvegicus,PFAM,PF01094,ANF_receptor,IPR001828,ANF_lig-bd_rcpt,73,468,8e-73
TAS1R3_rnorvegicus,PANTHER,PTHR24061,CALCIUM-SENSING RECEPTOR-RELATED,IPR000068,GPCR_3_Ca_sens_rcpt-rel,26,837,
TAS1R3_rnorvegicus,PFAM,PF07562,NCD3G,IPR011500,GPCR_3_9-Cys_dom,499,552,1.5e-11
TAS1R3_rnorvegicus,SUPERFAMILY,SSF53822,Periplasmic binding protein-like I,IPR028082,Peripla_BP_I,31,496,
TAS1R3_rnorvegicus,GENE3D,G3DSA:2.10.50.30,"GPCR, family 3, nine cysteines domain",IPR038550,GPCR_3_9-Cys_sf,498,575,6.5e-19
Gr_sweet_hit1_aaegypti,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,46,449,
Gr_sweet_hit1_aaegypti,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,53,448,6.9e-125
Gr_sweet_hit1_amellifera,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,69,462,
Gr_sweet_hit1_amellifera,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,70,460,9.9e-112
Gr_sweet_hit1_bmori,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,23,428,
Gr_sweet_hit1_bmori,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,19,424,2.4e-86
Gr_sweet_hit1_msexta,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,30,427,9.1e-91
Gr_sweet_hit1_msexta,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,21,431,
Gr_sweet_hit1_tcastaneum,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,455,874,
Gr_sweet_hit1_tcastaneum,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,30,412,6.2e-90
Gr_sweet_hit1_tcastaneum,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,472,868,6.5e-91
Gr_sweet_hit2_aaegypti,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,17,416,
Gr_sweet_hit2_aaegypti,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,18,417,4.6e-116
Gr_sweet_hit2_amellifera,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,69,468,
Gr_sweet_hit2_amellifera,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,70,466,2.6e-108
Gr_sweet_hit2_bmori,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,381,476,2.7e-31
Gr_sweet_hit2_bmori,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,77,355,3.1e-44
Gr_sweet_hit2_bmori,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,40,359,
Gr_sweet_hit2_msexta,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,33,315,
Gr_sweet_hit2_msexta,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,35,431,3.7e-86
Gr_sweet_hit2_tcastaneum,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,4,383,5.8e-81
Gr_sweet_hit2_tcastaneum,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,399,781,7.1e-85
Gr_sweet_hit2_tcastaneum,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,4,384,
Gr_sweet_hit3_aaegypti,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,45,447,
Gr_sweet_hit3_aaegypti,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,50,445,3.5e-100
Gr_sweet_hit3_amellifera,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,15,413,
Gr_sweet_hit3_amellifera,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,15,411,1.2e-107
Gr_sweet_hit3_bmori,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,20,408,
Gr_sweet_hit3_bmori,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,20,406,2.1e-69
Gr_sweet_hit3_msexta,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,10,392,
Gr_sweet_hit3_msexta,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,11,393,2.5e-68
Gr_sweet_hit3_tcastaneum,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,12,412,
Gr_sweet_hit3_tcastaneum,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,27,403,8.4e-96
Gr_sweet_hit4_aaegypti,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,36,416,
Gr_sweet_hit4_aaegypti,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,32,427,1.4e-96
Gr_sweet_hit4_amellifera,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,71,469,4.9e-91
Gr_sweet_hit4_amellifera,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,76,470,
Gr_sweet_hit4_bmori,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,9,395,
Gr_sweet_hit4_bmori,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,14,394,2.9e-57
Gr_sweet_hit4_msexta,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,235,326,9e-25
Gr_sweet_hit4_msexta,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,128,207,3.9e-14
Gr_sweet_hit4_msexta,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,4,101,1.9e-12
Gr_sweet_hit4_msexta,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,120,326,
Gr_sweet_hit4_tcastaneum,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,4,368,4e-81
Gr_sweet_hit4_tcastaneum,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,4,368,
Gr_sweet_hit5_aaegypti,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,33,427,1e-100
Gr_sweet_hit5_aaegypti,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,31,429,
Gr_sweet_hit5_bmori,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,1,220,
Gr_sweet_hit5_bmori,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,2,216,7.7e-55
Gr_sweet_hit5_msexta,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,32,306,2.1e-40
Gr_sweet_hit5_msexta,PFAM,PF08395,7tm_7,IPR013604,7TM_chemorcpt,336,382,0.0014
Gr_sweet_hit5_msexta,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,32,308,
Gr_sweet_hit5_tcastaneum,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,18,421,
Gr_sweet_hit5_tcastaneum,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,23,246,6.1e-37
Gr_sweet_hit5_tcastaneum,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,271,421,4.1e-42
Gr_sweet_hit6_aaegypti,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,44,467,
Gr_sweet_hit6_aaegypti,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,74,469,7.9e-95
Gr_sweet_hit6_bmori,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,22,416,
Gr_sweet_hit6_bmori,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,19,417,2.2e-43
Gr_sweet_hit6_msexta,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,3,367,
Gr_sweet_hit6_msexta,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,46,368,2.4e-42
Gr_sweet_hit6_tcastaneum,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,23,261,2.6e-31
Gr_sweet_hit6_tcastaneum,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,286,436,4.4e-42
Gr_sweet_hit6_tcastaneum,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,18,436,
Gr_sweet_hit6_tcastaneum,SUPERFAMILY,SSF90123,ABC transporter transmembrane region,IPR036640,ABC1_TM_sf,118,361,
Gr_sweet_hit7_aaegypti,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,30,421,3.5e-92
Gr_sweet_hit7_aaegypti,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,31,425,
Gr_sweet_hit7_msexta,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,8,417,5.5e-46
Gr_sweet_hit7_msexta,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,18,416,
Gr_sweet_hit7_tcastaneum,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,16,391,6.7e-57
Gr_sweet_hit7_tcastaneum,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,9,390,
